DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
24105	Okanogan School District	2539	Grainger Elementary	0
06119	Battle Ground School District	1597	Homelink Schools	0
21018	Vader School District	2935	Vader Elementary	0
03052	Kiona-Benton City School District	3961	Kiona-Benton City Middle School	0
31004	Lake Stevens School District	3408	Lake Stevens Middle School	0
17414	Lake Washington School District	3748	Muir Elementary	0
11001	Pasco School District	4526	Whittier Elementary	0
05402	Quillayute Valley School District	5071	Insight School of Washington	0
17001	Seattle Public Schools	2181	Alki Elementary School	0
17216	Enumclaw School District	1986	Muckleshoot Tribal Sr. High School 9-12	0
06037	Vancouver School District	5024	Nierenberg Center	0
17001	Seattle Public Schools	3028	Sacajawea Elementary School	0
17404	Skykomish School District	2513	Skykomish High School	0
27320	Sumner School District	3349	Bonney Lake Elementary	0
17409	Tahoma School District	3589	Shadow Lake Elementary	0
06037	Vancouver School District	3734	Martin Luther King Elementary	0
06117	Camas School District	3577	James David Zellerbach Elem Sch	0
17402	Vashon Island School District	4468	Chautauqua Elementary	0
08458	Kelso School District	3578	Beacon Hill Elementary	0
32081	Spokane School District	2056	Holmes Elementary	0
14028	Hoquiam School District	2391	Hoquiam Middle School	0
26056	Newport School District	2518	Newport High School	0
23402	Pioneer School District	2865	Pioneer Middle School	0
17410	Snoqualmie Valley School District	2288	Snoqualmie Elementary	0
27400	Clover Park School District	3501	Oakwood Elementary School	0
18401	Central Kitsap School District	4393	Green Mountain Elementary	0
39200	Grandview School District	3071	Grandview Middle School	0
17411	Issaquah School District	3636	Maywood Middle School	0
27401	Peninsula School District	3056	Vaughn Elementary School	0
31025	Marysville School District	4150	Marshall Elementary	0
27003	Puyallup School District	2334	Meeker Elementary	0
17001	Seattle Public Schools	3868	Nova High School	0
32081	Spokane School District	3258	Glover Middle School	0
06119	Battle Ground School District	5502	DB Youth Services	0
17401	Highline Public Schools	2985	Salmon Creek Elementary	1
18401	Central Kitsap School District	1740	Off Campus	0
39090	East Valley School District (Yakima)	2530	Moxee Elementary	0
13165	Ephrata School District	2793	Columbia Ridge Elementary	0
39200	Grandview School District	2345	Mcclure Elementary School	0
04019	Manson School District	5286	Manson Middle School	0
17001	Seattle Public Schools	5276	STEM K-8	0
39201	Sunnyside School District	4000	Chief Kamiakin Elementary School	0
38126	LaCrosse School District	2088	Lacrosse High School	0
33115	Colville School District	3831	Colville Junior High School	0
23054	Grapeview School District	2145	Grapeview Elementary & Middle School	0
33070	Valley School District	2405	Valley School	0
17001	Seattle Public Schools	5500	SVI 1418 Re-Engagement Program	0
01147	Othello School District	3730	Scootney Springs Elementary	0
17001	Seattle Public Schools	2069	Madrona K-8 School	1
27010	Tacoma School District	2167	Fern Hill	0
05402	Quillayute Valley School District	4174	Quileute Tribal School	0
27400	Clover Park School District	3602	Lochburn Middle School	0
15204	Coupeville School District	5034	Toddler Learning Center	0
17414	Lake Washington School District	3529	Mann Elementary	0
11051	North Franklin School District	5261	North Franklin Virtual Academy	0
34003	North Thurston Public Schools	4314	South Sound High School	0
33049	Wellpinit School District	4232	Wellpinit Middle School	0
17408	Auburn School District	3169	Olympic Middle School	1
27402	Franklin Pierce School District	2876	Franklin-Pierce High School	0
27003	Puyallup School District	4361	Frank Brouillet Elem	0
17410	Snoqualmie Valley School District	5015	Cascade View Elementary School	0
06037	Vancouver School District	3080	Benjamin Franklin Elementary	0
06112	Washougal School District	4549	Canyon Creek Middle School	0
09206	Eastmont School District	5130	Special Education Pre-School 	0
06801	Educational Service District 112	5290	Clark County Juvenile Detention School	0
05121	Port Angeles School District	3318	Stevens Middle School	0
27010	Tacoma School District	5183	Tacoma Business Academy	0
17405	Bellevue School District	5308	Jing Mei Elementary School	0
37501	Bellingham School District	4442	Kulshan Middle School	0
17401	Highline Public Schools	3097	Marvista Elementary	1
31025	Marysville School District	3059	Cascade Elementary	0
31006	Mukilteo School District	4304	Discovery Elementary	0
14172	Ocosta School District	3024	Ocosta Junior - Senior High	0
11001	Pasco School District	3324	Stevens Middle School	0
05323	Sequim School District	1708	Sequim Community School	0
17412	Shoreline School District	2990	Briarcrest Elementary	0
27400	Clover Park School District	3350	Heartwood Elementary School	0
06119	Battle Ground School District	2671	Amboy Middle School	0
32081	Spokane School District	5361	Spokane Public Montessori	0
06112	Washougal School District	3270	Cape Horn Skye Elementary	0
04246	Wenatchee School District	2279	Lewis And Clark Elementary Sch	0
30303	Stevenson-Carson School District	5241	Columbia Virtual Academy-SCSD	0
28137	Orcas Island School District	3808	Waldron Island School	0
34307	Rainier School District	2468	Rainier Senior High School	0
31201	Snohomish School District	1757	Snohomish Online Learning	0
31002	Everett School District	1664	Cocoon House	0
